id,link,que,ans_count,follow
wbFWmlk2227,https://www.quora.com/After-answering-a-crazy-coding-problem-in-a-tech-interview-can-I-give-the-interviewer-a-good-coding-problem-and-ask-him-to-solve-it-to-know-if-he-can-solve-it-or-not,After answering a crazy coding problem in a tech interview can I give the interviewer a good coding problem and ask him to solve it to know if he can solve it or not?,31,24
wX9f9wxi235,https://www.quora.com/Employer-is-not-giving-me-relieving-letter-but-has-accepted-the-resignation-What-do-I-do,Employer is not giving me relieving letter but has accepted the resignation.What do I do?,6,24
wQlRRKaU237,https://www.quora.com/What-have-been-some-of-the-most-interesting-interviews-conducted-in-the-past-few-years,What have been some of the most interesting interviews conducted in the past few years?,3,24
wLosaUfQ239,https://www.quora.com/What-do-I-tell-an-interviewer-who-asks-about-my-hobbies-when-I-really-dont-have-any,What do I tell an interviewer who asks about my hobbies when I really don't have any?,11,23
wFn9THPP239,https://www.quora.com/What-are-some-of-the-best-questions-to-ask-an-interviewee-in-order-to-get-to-know-them-and-whether-or-not-you-could-would-get-along-well-with-them,What are some of the best questions to ask an interviewee in order to get to know them and whether or not you could/would get along well with them?,6,23
wPMIDkrb252,https://www.quora.com/What-is-work-life-balance,What is work life balance?,36,23
wooMEXaD251,https://www.quora.com/What-are-some-red-flags-for-employers-that-scream-fire-this-guy-immediately,"What are some red flags for employers that scream, ""fire this guy immediately?""",7,23
wwh7qlgr251,https://www.quora.com/What-is-work-life-balance,What is work life balance?,36,23
wFn9THPP225,https://www.quora.com/What-are-some-general-tips-for-doing-well-in-an-interview,What are some general tips for doing well in an interview?,16,20
wlfwRsx658,https://www.quora.com/Why-should-a-presenter-not-say-Thats-a-good-question,"Why should a presenter not say ""That's a good question""?",8,20
wW6HIBk6245,https://www.quora.com/Why-is-retention-of-good-employees-so-much-harder-these-days-and-what-can-we-do-to-solve-it,"Why is retention of good employees so much harder these days, and what can we do to solve it?",19,20
wjc7a3tV177,https://www.quora.com/How-should-one-tackle-the-HR-in-an-interview-and-impress-them,How should one tackle the HR in an interview and impress them?,4,20
w7sPRnYR258,https://www.quora.com/What-should-I-answer-when-my-interviewer-asks-me-Why-investment-banking-Why-finance,"What should I answer when my interviewer asks me, ""Why investment banking? Why finance?""?",7,19
wFn9THPP253,https://www.quora.com/What-can-one-learn-from-interviewing-candidates,What can one learn from interviewing candidates?,3,19
wccdSTQR251,https://www.quora.com/What-do-you-have-to-say-about-the-scripted-interview-of-Kiran-Bedi-on-Aaj-Tak,What do you have to say about the scripted interview of Kiran Bedi on Aaj Tak?,8,18
wccdSTQR237,https://www.quora.com/Is-it-true-that-Sean-Penns-interview-of-El-Chapo-lead-to-his-arrest,Is it true that Sean Penn's interview of El Chapo lead to his arrest?,3,18
wlfwRsx663,https://www.quora.com/Whats-a-behavioral-interview,What's a behavioral interview?,6,17
w9CZd7vK241,https://www.quora.com/What-are-the-most-interesting-interviews-available-online,What are the most interesting interviews available online?,3,16
wmKxVvFs248,https://www.quora.com/What-are-the-commonly-asked-behavioral-questions-in-a-job-interview,What are the commonly asked behavioral questions in a job interview?,3,16
wmKxVvFs231,https://www.quora.com/What-is-the-difference-between-a-questionnaire-and-an-interview,What is the difference between a questionnaire and an interview?,15,16
wQlRRKaU257,https://www.quora.com/How-do-introverts-pass-job-interviews-and-get-hired,How do introverts pass job interviews and get hired?,10,16
w73yws1d254,https://www.quora.com/In-my-interview-for-XLRI-BM-2016-interview-out-of-8-people-appearing-on-the-day-only-I-had-a-stress-interview-Is-it-good-or-bad-for-my-candidacy,"In my interview for XLRI-BM 2016 interview, out of 8 people appearing on the day, only I had a stress interview. Is it good or bad for my candidacy?",3,16
wqjYDd7E252,https://www.quora.com/How-can-I-contact-Amazon-human-resources,How can I contact Amazon human resources?,9,15
wkUaUWsd259,https://www.quora.com/What-have-candidates-done-on-an-interview-that-made-you-decide-against-them-immediately,What have candidates done on an interview that made you decide against them immediately?,12,15
wmKxVvFs246,https://www.quora.com/What-should-be-the-best-response-by-a-candidate-if-the-interviewer-says-surprise-me,"What should be the best response by a candidate if the interviewer says, ""surprise me""?",4,15
w0aXkzHE248,https://www.quora.com/How-is-the-JBNSTS-junior-scholarship-interview-like,How is the JBNSTS junior scholarship interview like?,6,15
wgjTgAjE263,https://www.quora.com/What-are-the-challenges-of-HR-scheduling-interviews,What are the challenges of HR scheduling interviews?,3,15
w5jeVxcD247,https://www.quora.com/How-many-times-can-you-tolerate-rejection-in-job-interviews,How many times can you tolerate rejection in job interviews?,9,14
wmKxVvFs254,https://www.quora.com/What-is-the-biggest-train-wreck-of-an-interview-on-a-late-night-show,What is the biggest train wreck of an interview on a late night show?,3,14
w9CZd7vK245,https://www.quora.com/Where-is-the-line-that-divides-self-confidence-from-arrogance-in-interviews,Where is the line that divides self-confidence from arrogance in interviews?,5,14
wgjTgAjE255,https://www.quora.com/What-should-be-expected-in-a-final-HR-interview,What should be expected in a final HR interview?,10,14
w73yws1d236,https://www.quora.com/During-an-interview-when-salary-is-discussed-is-it-advisable-to-answer-As-per-industry-standards-in-India,"During an interview, when salary is discussed, is it advisable to answer ""As per industry standards"" in India?",8,14
wFn9THPP255,https://www.quora.com/What-does-multi-dimensional-communication-strategy-mean,"What does ""multi-dimensional communication strategy"" mean?",3,13
wp1EtTAI221,https://www.quora.com/If-I-have-a-limited-budget-as-a-CEO-or-HR-manager-should-I-sign-up-for-www-tinypulse-com-or-www-15five-com-I-know-they-dont-have-the-same-function-but-if-I-had-to-choose-one-to-offer-my-employees-what-should-I-sign-up-to-Thanks,"If I have a limited budget as a CEO or HR manager, should I sign up for www.tinypulse.com or www.15five.com? I know they don't have the same function but if I had to choose one to offer my employees, what should I sign-up to? Thanks",10,13
w9CZd7vK256,https://www.quora.com/Are-there-any-tactics-which-help-with-interview-brain-freeze,Are there any tactics which help with interview brain freeze?,4,13
wftH4pHZ243,https://www.quora.com/What-are-the-documents-we-have-to-place-in-our-folder-and-their-sequence-of-arrangement-for-interviews,What are the documents we have to place in our folder and their sequence of arrangement for interviews?,5,12
wjc7a3tV207,https://www.quora.com/Why-is-it-that-people-clear-all-the-written-tests-technical-interviews-but-not-the-HR-interviews-in-a-companys-recruitment-process-even-if-he-she-has-technical-knowledge,"Why is it that people clear all the written tests, technical interviews but not the HR interviews in a company's recruitment process even if he/she has technical knowledge?",9,12
wQzPglGU224,https://www.quora.com/Is-it-professional-to-ask-the-HR-of-a-company-to-pre-pone-the-date-of-joining,Is it professional to ask the HR of a company to pre-pone the date of joining?,8,11
wI4X2xUZ86,https://www.quora.com/Human-Resources-What-do-you-mean-by-demonstrated-experience-in-HR-Job-requirements,Human Resources: What do you mean by 'demonstrated' experience in HR Job requirements?,5,11
wccdSTQR233,https://www.quora.com/How-do-I-answer-the-question-sell-me-this-unusable-pen,"How do I answer the question : ""sell me this unusable pen""?",3,11
w3zdcTWw241,https://www.quora.com/What-are-some-basics-that-a-candidate-should-prepare-before-appearing-for-a-HR-interview,What are some basics that a candidate should prepare before appearing for a HR interview?,10,10
wjc7a3tV199,https://www.quora.com/HR-Interviews-In-an-HR-interview-I-was-asked-why-I-want-to-change-my-career-In-reply-to-that-I-told-them-my-back-history-why-I-am-in-the-current-field-and-express-my-interest-in-the-present-opportunity-Have-I-done-something-wrong-in-the-interview,"HR Interviews: In an HR interview, I was asked why I want to change my career. In reply to that I told them my back history why I am in the current field and express my interest in the present opportunity. Have I done something wrong in the interview?",8,10
wjc7a3tV197,https://www.quora.com/What-should-I-answer-to-the-question-Why-are-your-grades-constantly-going-down-in-job-interview,"What should I answer to the question ""Why are your grades constantly going down?"" in job interview?",4,10
wQlRRKaU243,https://www.quora.com/Whats-the-best-answer-for-the-question-what-is-meaning-of-your-name-When-you-dont-know-it,"What's the best answer for the question ""what is meaning of your name ?"" When you don't know it.",4,10
wLrJsitK235,https://www.quora.com/How-do-you-prepare-for-Capital-One-senior-business-analyst-case-study-interviews,How do you prepare for Capital One senior business analyst case study interviews?,4,10
wftH4pHZ241,https://www.quora.com/How-do-hiring-managers-feel-about-interviewing-candidates-searching-and-connecting-with-them-via-LinkedIn-before-the-interview,"How do hiring managers feel about interviewing candidates, searching and connecting with them via LinkedIn before the interview?",6,10
w9CZd7vK260,https://www.quora.com/What-are-interviewers-thinking-about-when-asking-about-your-management-style,What are interviewers thinking about when asking about your management style?,3,10
wmKxVvFs233,https://www.quora.com/What-questions-can-I-ask-to-quickly-size-up-an-interviewee,What questions can I ask to quickly size up an interviewee?,7,10
wQlRRKaU235,https://www.quora.com/At-the-end-of-a-job-interview-how-do-you-ask-the-interviewer-for-the-job,At the end of a job interview how do you ask the interviewer for the job?,5,10
